Date,Year,Day_of_Year,Total_Days,Domestic_Guests,Foreign_Guests,Flight_Price,Reviews,Event_Flag,Season_Flag,Availability,Hotel_Price,Occupancy,Competing_Hotels_Availability
2024-01-01,2024,1,366,10872.67870025779,2170.7835368264855,689.7017198460269,4.524835707650562,0,0,0.5015727038063218,270,63.21571155238774,0.5996427773580209
2024-01-02,2024,2,366,10816.412238754392,2155.779147092246,684.556373568896,4.493086784941441,0,0,0.4600359863093578,270,63.46979059826167,0.47180531346100163
2024-01-03,2024,3,366,10760.178946108152,2140.783602386582,679.4155785993597,4.532384426905034,0,0,0.5183265534940497,270,64.16037778917571,0.49115875488647015
2024-01-04,2024,4,366,10703.995394528522,2125.8013219653476,674.2808499532917,4.076151492820402,1,0,0.4569297695179599,345,68.23878836287588,0.5099711215922096
2024-01-05,2024,5,366,10647.878141566029,2110.8367211753493,669.1537008587919,3.988292331263833,1,0,0.46996020219719303,345,64.85132817980983,0.5513341581124588
2024-01-06,2024,6,366,10591.843725232698,2095.894210153128,664.0356423102317,3.988293152152541,1,0,0.39207489243612625,345,64.07717507563237,0.6088824964346613
2024-01-07,2024,7,366,10535.908659128214,2080.9781925252655,658.9281826229573,4.078960640775369,0,0,0.5417674940956145,270,67.47117900324469,0.42615816045217
2024-01-08,2024,8,366,10480.089427573303,2066.0930641106224,653.8328269887813,4.038371736457646,0,0,0.49720820743689653,270,66.39737142120143,0.5271854068066572
2024-01-09,2024,9,366,10424.402480751709,2051.2432116248638,648.7510770323967,3.9765262807032524,0,0,0.5221636563347504,270,63.8230449068708,0.5680537491545867
2024-01-10,2024,10,366,10368.864229862258,2036.4330113876772,643.6844303688404,4.027128002179298,0,0,0.4792018814574894,270,65.62687580157125,0.5112529289561456
2024-01-11,2024,11,366,10313.491042282407,2021.6668280330505,638.6343801621398,3.9768291153593767,0,0,0.5122554781012514,270,63.14600447956432,0.5237324190061577
2024-01-12,2024,12,366,10258.299236744697,2006.949013222994,633.6024146852703,3.976713512321487,0,0,0.47893168873652686,270,63.743665819005784,0.4564046633699149
2024-01-13,2024,13,366,10203.305078527545,1992.2839043650865,628.5900168815542,3.512098113578302,1,0,0.4375246207860839,345,63.84496594720332,0.5146535603730157
2024-01-14,2024,14,366,10148.524774661795,1977.6758233342202,623.5986639276314,2.90433598776711,1,0,0.4882806270773357,345,63.488137517933886,0.5353396868166832
2024-01-15,2024,15,366,10093.97446915444,1963.1290751989259,618.629826798127,2.9137541083743486,1,0,0.44618635198473305,345,62.12570371778687,0.6280194494420651
2024-01-16,2024,16,366,10039.670238230896,1948.647946952647,613.6849698321499,2.4718856235379514,1,0,0.4543486574635945,345,59.91258273145584,0.5634320099756885
2024-01-17,2024,17,366,9985.628085597267,1934.236706250346,608.7655503017445,1.9493584439832787,1,0,0.4674013546137751,345,58.17956715627833,0.5169457438600672
2024-01-18,2024,18,366,9931.863937723983,1919.8996001508037,603.8730179824265,2.0157123666297636,1,0,0.4599136377594521,345,60.56576074058876,0.5400509325117155
2024-01-19,2024,19,366,9878.393639152202,1905.6408538649955,599.0088147259269,1.9545987962239395,1,0,0.45300837810287153,345,58.58494416708607,0.4844712351986426
2024-01-20,2024,20,366,9825.232947824337,1891.464669510898,594.1743740352715,1.9293848149332353,0,0,0.5072992200493245,270,58.66946852844528,0.5229265462684438
2024-01-21,2024,21,366,9772.397530440125,1877.3752248751084,589.3711206423219,2.5732824384460775,0,0,0.5480683117047656,270,61.81976447263524,0.4960483414114049
2024-01-22,2024,22,366,9719.902957839584,1863.3766721816305,584.6004700878997,2.4887111849756733,0,0,0.4988476240593283,270,61.55258935472865,0.4785478592990177
2024-01-23,2024,23,366,9667.764700414204,1849.4731368681958,579.86382830462,2.003376410234396,1,0,0.45402198093429935,345,61.533633409446644,0.5224759116777256
2024-01-24,2024,24,366,9615.99812354776,1835.6687163704776,575.1625912025577,1.428762590689327,1,0,0.47101308792015223,345,60.312416194662546,0.5422808235624502
2024-01-25,2024,25,366,9564.618483088061,1821.967478914558,570.4981442578649,1.472780863773741,1,0,0.4721105186591597,345,59.09881941324153,0.5060534945388105
2024-01-26,2024,26,366,9513.640920850981,1808.3734623180032,565.8718621044657,1.5055461294854933,0,0,0.5237406061112077,270,59.170032078205786,0.47295276315750123
2024-01-27,2024,27,366,9463.080460158095,1794.8906727999001,561.2851081289455,1.4424503211288848,0,0,0.5127746044405836,270,56.840931159791126,0.5922114850177421
2024-01-28,2024,28,366,9412.95200140924,1781.5230838002055,556.7392340687535,1.5187849009172836,0,0,0.47713990174539034,270,55.77768950205686,0.5105088132173098
2024-01-29,2024,29,366,9363.270317691295,1768.2746348087535,552.2355796138406,1.4699680655040597,0,0,0.5326686306460219,270,56.024654560508566,0.449414361752917
2024-01-30,2024,30,366,9314.050050424488,1755.1492302042716,547.7754720118462,1.9854153125103362,0,0,0.47707309213962623,270,57.994705640913196,0.4905498175786158
2024-01-31,2024,31,366,9265.3057050475,1742.1507381037416,543.3602256769525,2.46991466938853,0,0,0.5060527093047806,270,59.928358632674026,0.5311568892702162
2024-02-01,2024,32,366,9217.05164674265,1729.2829892224481,538.9911418025199,2.592613909225447,0,0,0.4849144829996128,270,61.39195549747397,0.5060243083394821
2024-02-02,2024,33,366,9169.302096202402,1716.549775745049,534.66950797762,2.9993251387631035,0,0,0.49871723306814014,270,64.38010734787059,0.4688141150157885
2024-02-03,2024,34,366,9122.07112543847,1703.9548502080002,530.3965978075771,3.447114453552205,0,0,0.5065752482060696,270,61.352025619341894,0.559489953407581
2024-02-04,2024,35,366,9075.372653634724,1691.5019243936677,526.1736705386309,3.5411272456051597,0,0,0.5064271443090055,270,61.24832667346227,0.5645530059166763
2024-02-05,2024,36,366,9029.220443045146,1679.1946682364471,522.0019706868304,2.938957817501449,1,0,0.45843841508470573,345,66.04450388726931,0.511540406628359
2024-02-06,2024,37,366,8983.628094938038,1667.036708741218,517.8827276712698,3.010443179750238,1,0,0.4822742253811729,345,63.30698557533007,0.42439877705079626
2024-02-07,2024,38,366,8938.609045587647,1655.0316289144475,513.817155451773,2.9020164938060113,0,0,0.5090706860302796,270,61.53684387629564,0.5413049984615665
2024-02-08,2024,39,366,8894.17656231446,1643.182966708264,509.80645217113397,2.9335906975550783,0,0,0.495116867294187,270,63.03092912146119,0.4706516414178128
2024-02-09,2024,40,366,8850.343739575233,1631.494213977804,505.85179980201815,4.009843061793456,0,0,0.5192817433657672,270,65.56130055721692,0.5202495365923713
2024-02-10,2024,41,366,8807.123495104024,1619.9688154521477,501.9543637986304,3.0369233289997704,1,0,0.4737894097784928,345,63.31580828939384,0.4277053993359154
2024-02-11,2024,42,366,8764.528566105251,1608.6101677191416,498.11529275325006,3.0085684140594986,1,0,0.4254478436972602,345,60.30937591173589,0.6191820232177053
